,shift_id,senior_id,st_time
0,0,153751828,2021-11-07
1,1,335191233,2021-11-07
2,2,508650283,2021-11-07
3,3,462751494,2021-11-07
4,4,741740348,2021-11-07
5,5,758710545,2021-11-07
6,6,623639645,2021-11-07
7,7,567711666,2021-11-07
8,8,755483396,2021-11-07
9,9,686681672,2021-11-07
10,10,274005989,2021-11-07
11,11,987503545,2021-11-07
12,12,787592734,2021-11-07
13,13,734973104,2021-11-07
14,14,166660243,2021-11-07
15,15,933590364,2021-11-07
16,16,887284448,2021-11-07
17,17,457952907,2021-11-07
18,18,617235002,2021-11-07
19,19,807866003,2021-11-07
20,20,605893082,2021-11-07
